26/07/2011
corrugada6_setbottom_C11_Pin=-1 _X	corrugada6_setbottom_C11_Pin=-1_Y	corrugada6_setbottom_C11_Pin=-1_Ynorm	corrugada6_setbottom_C11_Pin=-1 _X	corrugada6_setbottom_C11_Pin=-1_Y	corrugada6_setbottom_C11_Pin=-1_Ynorm	corrugada6_setbottom_C11_Pin=-1 _X	corrugada6_setbottom_C11_Pin=-1_Y	corrugada6_setbottom_C11_Pin=-1_Ynorm
1.561950E+3	-1.071000E+2	-2.870000E+2	1.561950E+3	-8.091000E+1	-2.605100E+2	1.561950E+3	-1.467000E+2	-3.264000E+2
1.562000E+3	-1.088000E+2	-2.887000E+2	1.562000E+3	-8.038000E+1	-2.599800E+2	1.562000E+3	-1.479000E+2	-3.276000E+2
1.562050E+3	-1.075000E+2	-2.874000E+2	1.562050E+3	-7.592000E+1	-2.555200E+2	1.562050E+3	-1.443000E+2	-3.240000E+2
1.562100E+3	-1.052000E+2	-2.851000E+2	1.562100E+3	-7.110000E+1	-2.507000E+2	1.562100E+3	-1.417000E+2	-3.214000E+2
1.562150E+3	-1.025000E+2	-2.824000E+2	1.562150E+3	-6.635000E+1	-2.459500E+2	1.562150E+3	-1.393000E+2	-3.190000E+2
1.562200E+3	-1.098000E+2	-2.897000E+2	1.562200E+3	-7.466000E+1	-2.542600E+2	1.562200E+3	-1.491000E+2	-3.288000E+2
1.562250E+3	-1.122000E+2	-2.921000E+2	1.562250E+3	-7.952000E+1	-2.591200E+2	1.562250E+3	-1.555000E+2	-3.352000E+2
1.562300E+3	-1.121000E+2	-2.920000E+2	1.562300E+3	-7.823000E+1	-2.578300E+2	1.562300E+3	-1.544000E+2	-3.341000E+2
1.562350E+3	-1.140000E+2	-2.939000E+2	1.562350E+3	-7.949000E+1	-2.590900E+2	1.562350E+3	-1.575000E+2	-3.372000E+2
1.562400E+3	-1.184000E+2	-2.983000E+2	1.562400E+3	-8.396000E+1	-2.635600E+2	1.562400E+3	-1.626000E+2	-3.423000E+2
